stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
59,2,1.0501006999408689,-0.01009796466678381,-0.048875667567069875
59,3,0.4886430842783281,-0.01202606875449419,-0.05866733533234214
59,4,0.3762737994835468,-0.014990848489105701,-0.07372364808203462
59,5,0.24785635403951503,-0.020905837416648865,-0.10376227866371851
59,6,0.3838879043004,-0.024671168997883797,-0.12288410725406264
59,7,0.4864844882832651,-0.02697650156915188,-0.1345914890132722
60,1,8.90535044921499,-0.012897254899144173,0.08680972280849403
60,2,8.991815350594452,-0.021597886458039284,0.04176417771884342
60,3,9.01811796823625,-0.02958672121167183,0.0004037990299403697
60,4,8.885440223317188,-0.03318122401833534,-0.018205923397266816
60,5,8.653209561911362,-0.03664154186844826,-0.03612093366826584
60,6,8.311858909530006,-0.0404958501458168,-0.0560757399512785
60,7,8.310676267740277,-0.04294253885746002,-0.06874291542407368
61,1,10.93310288600614,-0.038668226450681686,-0.14278784785844803
